_id,createdDate,lastLogin,active,role,signUpSource,state
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.799999952,2021-01-03 15:25:37.858000040,True,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.799999952,2021-01-03 15:25:37.858000040,True,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.799999952,2021-01-03 15:25:37.858000040,True,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,2021-01-03 15:25:30.553999901,2021-01-03 15:25:30.596999884,True,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.799999952,2021-01-03 15:25:37.858000040,True,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.799999952,2021-01-03 15:25:37.858000040,True,consumer,Email,WI
5ff1e1e8cfcf6c399c274ad9,2021-01-03 15:25:28.354000092,2021-01-03 15:25:28.391999960,True,consumer,Email,WI
5ff1e1b7cfcf6c399c274a5a,2021-01-03 15:24:39.625999928,2021-01-03 15:24:39.664999962,True,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.799999952,2021-01-03 15:25:37.858000040,True,consumer,Email,WI
5ff1e1f1cfcf6c399c274b0b,2021-01-03 15:25:37.563999891,2021-01-03 15:25:37.598999977,True,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.799999952,2021-01-03 15:25:37.858000040,True,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,2021-01-03 15:25:30.553999901,2021-01-03 15:25:30.596999884,True,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.799999952,2021-01-03 15:25:37.858000040,True,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,2021-01-03 15:25:30.553999901,2021-01-03 15:25:30.596999884,True,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.799999952,2021-01-03 15:25:37.858000040,True,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.799999952,2021-01-03 15:25:37.858000040,True,consumer,Email,WI
5ff1e1e4cfcf6c399c274ac3,2021-01-03 15:25:24.655999899,2021-01-03 15:25:24.694000006,True,consumer,Email,WI
5ff1e1b4cfcf6c399c274a54,2021-01-03 15:24:36.410000086,2021-01-03 15:24:36.451999903,True,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,2021-01-03 15:25:30.553999901,2021-01-03 15:25:30.596999884,True,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,2021-01-03 15:24:04.799999952,2021-01-03 15:25:37.858000040,True,consumer,Email,WI
5ff370c562fde912123a5e0e,2021-01-04 19:47:17.776000023,2021-01-04 19:50:50.562999964,True,consumer,Email,WI
5ff36d0362fde912123a5535,2021-01-04 19:31:15.973000050,2021-01-04 19:34:42.944000006,True,consumer,Email,WI
5ff36d83135e7011bcb864d6,2021-01-04 19:33:23.243999958,2021-01-04 19:33:23.424999952,True,consumer,Email,WI
5ff36c8862fde912123a538a,2021-01-04 19:29:12.943000078,2021-01-04 19:29:13.141000032,True,consumer,Email,WI
5ff370c562fde912123a5e0e,2021-01-04 19:47:17.776000023,2021-01-04 19:50:50.562999964,True,consumer,Email,WI
5ff36be7135e7011bcb856d3,2021-01-04 19:26:31.239000082,2021-01-04 19:29:52.726000071,True,consumer,Email,WI
5ff36d0362fde912123a5535,2021-01-04 19:31:15.973000050,2021-01-04 19:34:42.944000006,True,consumer,Email,WI
5ff36be7135e7011bcb856d3,2021-01-04 19:26:31.239000082,2021-01-04 19:29:52.726000071,True,consumer,Email,WI
5ff36a3862fde912123a4460,2021-01-04 19:19:20.351999998,2021-01-04 19:23:05.339999914,True,consumer,Email,WI
5ff36d0362fde912123a5535,2021-01-04 19:31:15.973000050,2021-01-04 19:34:42.944000006,True,consumer,Email,WI
5ff36c8e135e7011bcb85da4,2021-01-04 19:29:18.993999958,2021-01-04 19:29:19.173000097,True,consumer,Email,WI
5ff36a3862fde912123a4460,2021-01-04 19:19:20.351999998,2021-01-04 19:23:05.339999914,True,consumer,Email,WI
5ff370c562fde912123a5e0e,2021-01-04 19:47:17.776000023,2021-01-04 19:50:50.562999964,True,consumer,Email,WI
5ff36a3862fde912123a4460,2021-01-04 19:19:20.351999998,2021-01-04 19:23:05.339999914,True,consumer,Email,WI
5ff36a3862fde912123a4460,2021-01-04 19:19:20.351999998,2021-01-04 19:23:05.339999914,True,consumer,Email,WI
5ff370c562fde912123a5e0e,2021-01-04 19:47:17.776000023,2021-01-04 19:50:50.562999964,True,consumer,Email,WI
5ff36a3862fde912123a4460,2021-01-04 19:19:20.351999998,2021-01-04 19:23:05.339999914,True,consumer,Email,WI
5ff370c562fde912123a5e0e,2021-01-04 19:47:17.776000023,2021-01-04 19:50:50.562999964,True,consumer,Email,WI
5ff3711e62fde912123a620e,2021-01-04 19:48:46.806999922,2021-01-04 19:48:46.996999979,True,consumer,Email,WI
5ff36be7135e7011bcb856d3,2021-01-04 19:26:31.239000082,2021-01-04 19:29:52.726000071,True,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,2021-01-05 20:38:11.229000092,2021-01-05 20:39:55.131000042,True,consumer,Email,WI
5ff473e7c1e2d0121a9b2697,2021-01-05 14:12:55.668999910,2021-01-05 14:12:55.877000093,True,consumer,Email,WI
5ff47392c3d63511e2a47881,2021-01-05 14:11:30.233000040,2021-01-05 14:15:33.549999952,True,consumer,Email,WI
5ff47392c3d63511e2a47881,2021-01-05 14:11:30.233000040,2021-01-05 14:15:33.549999952,True,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,2021-01-05 20:38:11.229000092,2021-01-05 20:39:55.131000042,True,consumer,Email,WI
5ff4ce91c1e2d0121a9b3057,2021-01-05 20:39:45.282000065,2021-01-05 20:39:45.328999996,True,consumer,Email,WI
5ff47392c3d63511e2a47881,2021-01-05 14:11:30.233000040,2021-01-05 14:15:33.549999952,True,consumer,Email,WI
5ff4ce3dc3d63511e2a484dc,2021-01-05 20:38:21.887000084,2021-01-05 20:38:21.937999964,True,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,2021-01-05 20:38:11.229000092,2021-01-05 20:39:55.131000042,True,consumer,Email,WI
5ff4ce3dc3d63511e2a484dc,2021-01-05 20:38:21.887000084,2021-01-05 20:38:21.937999964,True,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,2021-01-05 20:38:11.229000092,2021-01-05 20:39:55.131000042,True,consumer,Email,WI
5ff47392c3d63511e2a47881,2021-01-05 14:11:30.233000040,2021-01-05 14:15:33.549999952,True,consumer,Email,WI
5ff4ce3dc3d63511e2a484dc,2021-01-05 20:38:21.887000084,2021-01-05 20:38:21.937999964,True,consumer,Email,WI
5ff4ce3dc3d63511e2a484dc,2021-01-05 20:38:21.887000084,2021-01-05 20:38:21.937999964,True,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,2021-01-05 20:38:11.229000092,2021-01-05 20:39:55.131000042,True,consumer,Email,WI
5ff4ce34c3d63511e2a484ba,2021-01-05 20:38:12.503000020,2021-01-05 20:38:12.565000057,True,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,2021-01-05 20:38:11.229000092,2021-01-05 20:39:55.131000042,True,consumer,Email,WI
5ff4ce33c3d63511e2a484b6,2021-01-05 20:38:11.229000092,2021-01-05 20:39:55.131000042,True,consumer,Email,WI
